id,cpu_capacity,cpu,mem_capacity,mem,disk_capacity,disk,bandwidth,running_task,labels
1,4,4,1024,896.0,10240,10002.806867993206,100,20,"['HDD', 'GBE']"
2,4,4,512,448.0,5120,4090.222573837266,100,12,"['CPU', 'RAM']"
3,1,1,512,448.0,5120,1309.013287009347,100,20,"['RAM', 'CPU']"
4,1,1,512,448.0,5120,2736.3932562240784,100,17,"['CPU', 'GBE']"
5,4,4,1024,896.0,10240,4413.394026519591,100,1,"['CPU', 'GBE']"
6,4,4,512,448.0,5120,281.36850330394054,100,4,"['CPU', 'RAM']"
7,4,4,512,448.0,5120,3071.7510597570295,100,18,"['CPU', 'SSD']"
8,4,4,512,448.0,5120,1506.2583692121768,100,18,"['GBE', 'SSD']"
9,1,1,512,448.0,5120,1332.5310111044632,100,15,"['SSD', 'CPU']"
10,1,1,512,448.0,5120,4308.075824289384,100,9,"['CPU', 'RAM']"
11,4,4,512,448.0,5120,1271.608260511111,100,19,"['RAM', 'SSD']"
12,1,1,1024,896.0,10240,8630.949904957339,100,15,"['HDD', 'CPU']"
13,4,4,512,448.0,5120,3740.084234836149,100,8,"['RAM', 'CPU']"
14,4,4,1024,896.0,10240,8325.196522307504,100,16,"['SSD', 'GBE']"
15,4,4,1024,896.0,10240,1051.767385298241,100,15,"['GBE', 'RAM']"
16,4,4,512,448.0,5120,4177.237702842918,100,9,"['HDD', 'SSD']"
17,1,1,512,448.0,5120,3887.413616351105,100,12,"['RAM', 'HDD']"
18,1,1,1024,896.0,10240,1389.5235787968375,100,17,"['HDD', 'SSD']"
19,4,4,1024,896.0,10240,9050.536323895847,100,12,"['CPU', 'RAM']"
20,4,4,1024,896.0,10240,3167.43856964928,100,18,"['CPU', 'GBE']"
21,4,4,512,448.0,5120,4029.1203653684115,100,18,"['RAM', 'GBE']"
22,1,1,512,448.0,5120,2179.033423496863,100,12,"['CPU', 'RAM']"
23,4,4,512,448.0,5120,863.3556985683651,100,18,"['GBE', 'HDD']"
24,4,4,512,448.0,5120,549.3143737242991,100,14,"['HDD', 'RAM']"
25,1,1,512,448.0,5120,2333.240308638517,100,4,"['RAM', 'GBE']"
26,1,1,1024,896.0,10240,8519.274462589652,100,16,"['GBE', 'HDD']"
27,1,1,1024,896.0,10240,3263.7873577023106,100,7,"['SSD', 'CPU']"
28,1,1,1024,896.0,10240,853.4277192263744,100,1,"['SSD', 'HDD']"
29,4,4,512,448.0,5120,4167.958104545572,100,19,"['HDD', 'SSD']"
30,1,1,1024,896.0,10240,1880.6741077201036,100,15,"['RAM', 'HDD']"
31,1,1,512,448.0,5120,587.7011499461844,100,2,"['GBE', 'RAM']"
32,1,1,512,448.0,5120,545.5496134675093,100,14,"['RAM', 'HDD']"
33,4,4,512,448.0,5120,5007.967451493183,100,13,"['CPU', 'GBE']"
34,4,4,512,448.0,5120,1340.8613111835762,100,17,"['GBE', 'CPU']"
35,4,4,512,448.0,5120,4492.397306299541,100,15,"['SSD', 'RAM']"
36,1,1,512,448.0,5120,686.8930038669919,100,18,"['RAM', 'SSD']"
37,4,4,512,448.0,5120,4420.544842129979,100,20,"['RAM', 'CPU']"
38,4,4,1024,896.0,10240,122.72255640174876,100,20,"['GBE', 'CPU']"
39,1,1,512,448.0,5120,300.83750025344045,100,17,"['HDD', 'SSD']"
40,1,1,512,448.0,5120,3110.18094809413,100,7,"['GBE', 'RAM']"
41,4,4,1024,896.0,10240,9533.863629169482,100,18,"['HDD', 'RAM']"
42,1,1,1024,896.0,10240,6315.117504605845,100,8,"['SSD', 'GBE']"
43,4,4,1024,896.0,10240,6562.177202392778,100,4,"['RAM', 'SSD']"
44,1,1,512,448.0,5120,487.0827187031972,100,1,"['SSD', 'HDD']"
45,1,1,1024,896.0,10240,2847.719870887777,100,5,"['CPU', 'GBE']"
46,4,4,512,448.0,5120,1982.9303638117558,100,4,"['GBE', 'HDD']"
47,4,4,1024,896.0,10240,2948.669179347912,100,4,"['GBE', 'CPU']"
48,1,1,512,448.0,5120,2090.198336236611,100,17,"['GBE', 'CPU']"
49,4,4,512,448.0,5120,3402.2821973670752,100,13,"['GBE', 'HDD']"
50,1,1,512,448.0,5120,3618.5982419575757,100,1,"['HDD', 'CPU']"
51,1,1,1024,896.0,10240,5132.545963822695,100,20,"['SSD', 'HDD']"
52,4,4,1024,896.0,10240,2034.7868276507722,100,18,"['RAM', 'CPU']"
53,1,1,1024,896.0,10240,5990.059776615215,100,1,"['GBE', 'SSD']"
54,1,1,1024,896.0,10240,2172.298110825881,100,19,"['CPU', 'HDD']"
55,4,4,1024,896.0,10240,4708.770632252495,100,19,"['GBE', 'SSD']"
56,4,4,1024,896.0,10240,7255.021996810055,100,11,"['SSD', 'CPU']"
57,1,1,1024,896.0,10240,7242.688396703443,100,7,"['CPU', 'SSD']"
58,4,4,512,448.0,5120,1607.9542793879023,100,9,"['RAM', 'GBE']"
59,4,4,512,448.0,5120,886.1749796370674,100,4,"['GBE', 'CPU']"
60,12,12,4096,3584.0,40960,16149.380011292387,100,17,"['GBE', 'CPU', 'TPU']"
61,12,12,8192,7168.0,81920,80628.7697346318,100,5,"['RAM', 'HDD', 'NPU']"
62,12,12,8192,7168.0,81920,72462.51604025593,100,1,"['GBE', 'RAM', 'NPU']"
63,12,12,4096,3584.0,40960,27697.68036643749,100,2,"['GBE', 'RAM', 'NPU']"
64,12,12,8192,7168.0,81920,42533.291795427096,100,16,"['SSD', 'RAM', 'GPU']"
65,12,12,8192,7168.0,81920,77110.3362863853,100,9,"['GBE', 'HDD', 'NPU']"
66,16,16,8192,7168.0,81920,52021.317356644875,100,2,"['HDD', 'GBE', 'NPU']"
67,12,12,8192,7168.0,81920,62312.58934308251,100,3,"['SSD', 'RAM', 'TPU']"
68,12,12,8192,7168.0,81920,45469.85814463152,100,9,"['HDD', 'GBE', 'TPU']"
69,12,12,8192,7168.0,81920,43945.7106478185,100,14,"['RAM', 'SSD', 'TPU']"
70,16,16,4096,3584.0,40960,39121.96205192397,100,4,"['GBE', 'RAM', 'TPU']"
71,12,12,4096,3584.0,40960,27744.268631199964,100,8,"['GBE', 'HDD', 'GPU']"
72,16,16,8192,7168.0,81920,46658.91473898871,100,1,"['SSD', 'CPU', 'TPU']"
73,12,12,8192,7168.0,81920,36416.290347834816,100,20,"['GBE', 'SSD', 'GPU']"
74,16,16,4096,3584.0,40960,40261.58618508035,100,10,"['RAM', 'GBE', 'NPU']"
75,12,12,4096,3584.0,40960,31044.920950944514,100,10,"['HDD', 'GBE', 'GPU']"
76,16,16,8192,7168.0,81920,9640.937304443969,100,20,"['GBE', 'SSD', 'NPU']"
77,12,12,8192,7168.0,81920,81487.36213262491,100,20,"['RAM', 'CPU', 'NPU']"
78,16,16,4096,3584.0,40960,3533.6418833068637,100,7,"['GBE', 'RAM', 'TPU']"
